
Series,Year,Fish_no,ID,FINAL ASSIGNMENT,Analysis_no,radius_in_microns,spot_size_in_microns,first_feeding_microns,otoSr,oto_1_sigma,SrV,Replicates
1,2007,1,2007_1,Northern,1,7.101,60,300,0.708129,0.00012,1.12,
2,2007,1,2007_1,Northern,2,54.44,60,300,0.70771,0.000098,1,
3,2007,1,2007_1,Northern,3,114.29,60,300,0.706856,0.000055,0.94,
4,2007,1,2007_1,Northern,4,169.406,60,300,0.705834,0.00015,0.98,
5,2007,1,2007_1,Northern,5,235.004,60,300,0.705551,0.00012,0.8,
6,2007,1,2007_1,Northern,6,289.782,60,300,0.704769,0.0001,0.75,
7,2007,1,2007_1,Northern,7,350.61,60,300,0.705056,0.00017,0.71,
8,2007,1,2007_1,Northern,15,357.747,60,300,0.704569,0.000095,0.67,
9,2007,1,2007_1,Northern,8,412.863,60,300,0.704417,0.00015,0.65,
10,2007,1,2007_1,Northern,9,476.432,60,300,0.704432,0.000089,0.63,
11,2007,1,2007_1,Northern,10,532.225,60,300,0.704658,0.00022,0.59,
12,2007,1,2007_1,Northern,11,597.147,60,300,0.704807,0.00019,0.57,
13,2007,1,2007_1,Northern,16,613.603,60,300,0.70491,0.00011,0.56,
14,2007,1,2007_1,Northern,12,660.716,60,300,0.705605,0.0001,0.62,
15,2007,1,2007_1,Northern,17,679.007,60,300,0.706589,0.00013,0.62,
16,2007,1,2007_1,Northern,13,722.595,60,300,0.708544,0.000077,1.41,
17,2007,1,2007_1,Northern,14,784.474,60,300,0.709074,0.000079,1.72,
18,2007,2,2007_2,Ame,19,0,60,240,0.70757,0.0001,1.05,1
19,2007,2,2007_2,Ame,20,60,60,240,0.707121,0.00013,0.9,1
20,2007,2,2007_2,Ame,21,120,60,240,0.706338,0.00018,0.83,1
21,2007,2,2007_2,Ame,22,180,60,240,0.706323,0.000056,0.96,1
22,2007,2,2007_2,Ame,23,240,60,240,0.705007,0.000091,0.98,1
23,2007,2,2007_2,Ame,24,300,60,240,0.704945,0.000017,0.95,1
24,2007,2,2007_2,Ame,25,360,60,240,0.704886,0.0003,0.86,1
25,2007,2,2007_2,Ame,27,480,60,240,0.705199,0.00008,0.84,1
26,2007,2,2007_2,Ame,28,540,60,240,0.707603,0.00019,1.04,1
27,2007,2,2007_2,Ame,29,600,60,240,0.708917,0.00043,0.98,1
28,2007,2,2007_2,Ame,30,660,60,240,0.708635,0.00027,0.96,1
29,2007,2,2007_2,Ame,31,720,60,240,0.708574,0.000092,1.62,1
30,2007,2,2007_2,Ame,32,780,60,240,0.708968,0.00011,2.53,1
31,2007,2,2007_2,Ame,33,840,60,240,0.709112,0.000038,2.39,1
32,2007,2,2007_2,EXCLUDE,1,0,80,180,0.707567,0.0001,,
33,2007,2,2007_2,EXCLUDE,2,80,80,180,0.706791,0.000087,,
34,2007,2,2007_2,EXCLUDE,3,160,80,180,0.705635,0.00015,,
35,2007,2,2007_2,EXCLUDE,4,240,80,180,0.705425,0.00011,,
36,2007,2,2007_2,EXCLUDE,13,280,60,180,0.704889,0.00019,,
37,2007,2,2007_2,EXCLUDE,16,285,60,180,0.705364,0.0001,,
38,2007,2,2007_2,EXCLUDE,5,320,80,180,0.705098,0.00019,,
39,2007,2,2007_2,EXCLUDE,14,360,60,180,0.70584,0.00015,,
40,2007,2,2007_2,EXCLUDE,17,365,60,180,0.705517,0.00017,,
41,2007,2,2007_2,EXCLUDE,6,400,80,180,0.705864,0.00013,,
