"","Series","Year","Fish_no","ID","FINAL.ASSIGNMENT","Analysis_no","radius_in_microns","spot_size_in_microns","first_feeding_microns","otoSr","oto_1_sigma","SrV","Replicates"
"209",209,2007,11,"2007_11","Northern",1,0,80,240,0.707319,0.00011,1.03,NA
"210",210,2007,11,"2007_11","Northern",2,60,80,240,0.707297,0.00014,0.98,NA
"211",211,2007,11,"2007_11","Northern",3,120,80,240,0.706757,0.00013,0.95,NA
"212",212,2007,11,"2007_11","Northern",4,180,80,240,0.70574,0.00011,0.83,NA
"213",213,2007,11,"2007_11","Northern",16,210,80,240,0.705425,8.4e-05,1.02,NA
"214",214,2007,11,"2007_11","Northern",5,240,80,240,0.705032,0.00011,1.01,NA
"215",215,2007,11,"2007_11","Northern",6,300,80,240,0.705046,9.2e-05,0.9,NA
"216",216,2007,11,"2007_11","Northern",7,360,80,240,0.705171,9.8e-05,1.2,NA
"217",217,2007,11,"2007_11","Northern",17,390,80,240,0.705087,9.5e-05,1.12,NA
"218",218,2007,11,"2007_11","Northern",8,420,80,240,0.704594,9.1e-05,1,NA
"219",219,2007,11,"2007_11","Northern",9,480,80,240,0.704713,9.2e-05,1.14,NA
"220",220,2007,11,"2007_11","Northern",10,540,80,240,0.70485,9.9e-05,1.08,NA
"221",221,2007,11,"2007_11","Northern",18,570,80,240,0.705798,0.00012,1.19,NA
"222",222,2007,11,"2007_11","Northern",11,600,80,240,0.706965,0.00011,1.69,NA
"223",223,2007,11,"2007_11","Northern",12,660,80,240,0.708699,8.1e-05,1.88,NA
"224",224,2007,11,"2007_11","Northern",13,720,80,240,0.708967,4.6e-05,1.97,NA
"225",225,2007,11,"2007_11","Northern",14,780,80,240,0.708916,5e-05,2.26,NA
"226",226,2007,11,"2007_11","Northern",15,840,80,240,0.709113,5.9e-05,2.33,NA
"1617",1617,2008,69,"2008_69","Feather/Delta",1,0,55,200,0.707755848,0.000141752,2.194656958,NA
"1618",1618,2008,69,"2008_69","Feather/Delta",2,53,55,200,0.707459547,0.000133084,2.39651445,NA
"1619",1619,2008,69,"2008_69","Feather/Delta",3,112,55,200,0.706829883,0.000128858,2.471855204,NA
"1620",1620,2008,69,"2008_69","Feather/Delta",4,168,55,200,0.705758155,0.000101043,2.908527168,NA
"1621",1621,2008,69,"2008_69","Feather/Delta",5,221,55,200,0.705282708,0.000111185,2.727583658,NA
"1622",1622,2008,69,"2008_69","Feather/Delta",6,280,55,200,0.705035429,0.000100579,2.73216655,NA
"1623",1623,2008,69,"2008_69","Feather/Delta",7,334,55,200,0.70535191,0.000119318,2.729022513,NA
"1624",1624,2008,69,"2008_69","Feather/Delta",8,391,55,200,0.706738071,0.000128727,2.557274121,NA
"1625",1625,2008,69,"2008_69","Feather/Delta",16,431,55,200,0.707301063,0.000117322,2.38520439,NA
"1626",1626,2008,69,"2008_69","Feather/Delta",9,445,55,200,0.707360363,0.000116376,2.612041857,NA
"1627",1627,2008,69,"2008_69","Feather/Delta",17,488,55,200,0.707538587,0.000115255,2.239470505,NA
"1628",1628,2008,69,"2008_69","Feather/Delta",10,502,55,200,0.707417754,0.000145069,2.194456758,NA
"1629",1629,2008,69,"2008_69","Feather/Delta",18,543,55,200,0.707201134,0.000117857,2.065813371,NA
"1630",1630,2008,69,"2008_69","Feather/Delta",11,556,55,200,0.707134037,0.000119395,1.967267355,NA
"1631",1631,2008,69,"2008_69","Feather/Delta",12,607,55,200,0.707439137,0.000142032,2.866862643,NA
"1632",1632,2008,69,"2008_69","Feather/Delta",13,669,55,200,0.708949051,0.000116498,4.868566538,NA
"1633",1633,2008,69,"2008_69","Feather/Delta",14,713,55,200,0.70898818,0.000132038,5.643756463,NA
"1634",1634,2008,69,"2008_69","Feather/Delta",15,771,55,200,0.709046377,9.69e-05,5.88628511,NA
